Rank,Title,Artists,Weeks_on_Chart,Song_Streams,Song_Units,Record_Label,Top_Cities
1,WAP,Cardi B feat. Megan Thee Stallion,5,34.1M,281.6K,,"['New York', 'Los Angeles', 'Chicago']"
2,Laugh Now Cry Later,Drake feat. Lil Durk,4,23M,182.4K,,"['New York', 'Los Angeles', 'Chicago']"
3,Mood,24kgoldn,5,20.2M,163.4K,,"['New York', 'Los Angeles', 'Chicago']"
4,For the Night,Pop Smoke feat. Lil Baby & DaBaby,10,17.3M,129.7K,Victor Victor Worldwide,"['New York', 'Los Angeles', 'Chicago']"
5,Whats Poppin,"Jack Harlow feat. DaBaby, Tory Lanez & Lil Wayne",32,15.6M,117.7K,Atlantic Records,"['New York', 'Los Angeles', 'Chicago']"
6,Rockstar,DaBaby feat. Roddy Ricch,21,14.8M,115.3K,Interscope,"['New York', 'Los Angeles', 'Philadelphia']"
7,Mood Swings,Pop Smoke feat. Lil Tjay,10,13M,96.9K,Victor Victor Worldwide,"['New York', 'Los Angeles', 'Philadelphia']"
8,Popstar,DJ Khaled feat. Drake,8,11M,93.6K,,"['New York', 'Los Angeles', 'Chicago']"
9,Dynamite,BTS,3,8.9M,89.1K,Bighit Entertainment,"['Los Angeles', 'New York', 'San Francisco-Oakland-San Jose']"
10,Hit Different,SZA feat. Ty Dolla $ign,1,10.3M,88.9K,RCA Records,"['New York', 'Los Angeles', 'Washington']"
11,Lemonade,"Internet Money feat. Don Toliver, Gunna & Nav",4,11.6M,88.8K,10K Projects,"['New York', 'Los Angeles', 'Philadelphia']"
12,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",13,9.8M,86.5K,Columbia Records,"['New York', 'Los Angeles', 'Philadelphia']"
13,Blinding Lights,The Weeknd,41,10M,84.4K,Republic,"['New York', 'Los Angeles', 'Chicago']"
14,Roses (Imanbek Remix),SAINt JHN,25,10M,83.3K,,"['New York', 'Los Angeles', 'Chicago']"
15,Come & Go,"Juice WRLD, Marshmello",9,10.4M,79.8K,Interscope,"['New York', 'Chicago', 'Los Angeles']"
16,Go Crazy,Chris Brown & Young Thug,17,9.7M,79.2K,RCA Records,"['New York', 'Los Angeles', 'Atlanta']"
17,Watermelon Sugar,Harry Styles,27,9.4M,78.7K,Columbia Records,"['New York', 'Los Angeles', 'Chicago']"
18,Be Like That,"Swae Lee, Khalid, Kane Brown",9,8.7M,74.3K,RCA Nashville Legacy,"['New York', 'Los Angeles', 'Chicago']"
19,I Hope,Gabby Barrett,40,8.3M,74K,Warner Music Nashville,"['New York', 'Philadelphia', 'Los Angeles']"
20,Tap In,Saweetie,8,9.1M,73.2K,,"['New York', 'Los Angeles', 'Chicago']"
21,Heather,Conan Gray,4,9.8M,71.9K,Republic,"['New York', 'Los Angeles', 'Chicago']"
22,Wolves,Big Sean feat. Post Malone,1,7.9M,66.5K,Def Jam,"['New York', 'Los Angeles', 'Detroit']"
23,my ex's best friend,"Machine Gun Kelly, blackbear",4,7.9M,65.2K,,"['New York', 'Los Angeles', 'Philadelphia']"
24,Wishing Well,Juice Wrld,9,9.4M,64.8K,Interscope,"['New York', 'Chicago', 'Los Angeles']"
25,Lithuania,Big Sean feat. Travis Scott,1,7.8M,63.7K,Def Jam,"['New York', 'Los Angeles', 'Chicago']"
